MemberID	FirstName	MidName	LastName	CurrentMember	MembershipType	Address	City	State	ZipCode	Area Code	Phone	E-Mail
9950	George		Vancouver	TRUE	Individual	801 Harris Ave Bldg 1	Bellingham	WA	98225	360	3845171	GeoVanco@otter.org
1345	Benjamin	Franklin	Pierce	FALSE	Individual	14809 Broadway	Snohomish	WA	98296	360	2233824	PierceB@hamster.com
1633	Sherman	T.	Potter	FALSE	Individual	PO Box 176                    	Trout Lake	WA	98650	360	7386902	ShePotte@otter.org
2566	Margaret		Houlihan	FALSE	Individual	1901 West 6th                 	Aberdeen	WA	98520	360	6715286	HoulihanM@hamster.com
3597	Tenzing		Norgay	FALSE	Individual	3130 Bennett Dr	Bellingham	WA	98225	480	7594640	NorgayT@hamster.com
4688	Henry		Blake	FALSE	Individual	1344 Mc Lean Rd	Mount Vernon	WA	98273	360	6479523	BlakeH@hamster.com
5031	John	Francis Patrick	Mulcahy	FALSE	Individual	12208 NE 137th Pl	Kirkland	WA	98034-2228	360	7158413	MulcahyJ@hamster.com
5091	Charles	Emerson	Winchester III	FALSE	Individual	1311 37th St	Bellingham	WA	98229-3234	360	4352393	WinchesterC@hamster.com
5202	George		Vancouver	FALSE	Individual	1802 B 16th Street	Bellingham	WA	98225	360	3712131	VancouverG@hamster.com
5507	John	Francis Xavier	McIntyre	FALSE	Individual	6029 Championship Cir	Mukilteo	WA	98275-5031	541	5829678	JMcIntyre@gerbil.net
6115	Genghis		Khan	FALSE	Individual	405 Foxhound Ct	Versailles	KY	40383-1644	360	7343832	KhanG@hamster.com
7203	Franklin	D.	Burns	FALSE	Individual	3007 Federal Ave              	Everett	WA	98201	425	8685894	BurnsF@hamster.com
8612	Sacagawea		Charbonneau	FALSE	Individual	2473 S Spencer St	Seattle	WA	98108	503	2888104	CharbonneauS@hamster.com
8737	Walter	Eugene	O'Reilly	FALSE	Individual	4759 Bay Road	Blaine	WA	98230	206	7899178	WOReilly@gerbil.net
2544	William		Clark	TRUE	Individual	503 Howardville Rd	Canton	NY	13617-3439	907	7462497	WClark@gerbil.net
4730	Hernán		Cortés	TRUE	Individual	4427 Ridgemont Dr	Everett	WA	98203	360	5747902	HCortes@gerbil.net
6249	Charles		Lindbergh	TRUE	Individual	20124 32nd Avenue NE	Seattle	WA	98155-1500	360	6475661	LindberghC@hamster.com
8879	Meriwether		Lewis	TRUE	Individual	2030 Pleasant Creek Rd	Rogue River	OR	97537-9710	425	3370541	LewisM@hamster.com
